enlace,experimento,secuencia,pci,pcm,pcf
1,1,1,11,50,82
1,1,2,11,50,80
1,1,3,11,50,80
1,1,4,11,50,79
1,1,5,11,50,81
1,1,6,11,50,80
1,1,7,11,50,81
1,1,8,11,50,80
1,1,9,11,50,82
1,1,10,10,50,79
1,2,1,11,50,79
1,2,2,11,50,79
1,2,3,11,50,79
1,2,4,11,50,83
1,2,5,11,50,81
1,2,6,11,50,81
1,2,7,11,50,80
1,2,8,11,50,78
1,2,9,11,50,81
1,2,10,11,50,80
1,3,1,11,50,80
1,3,2,11,50,80
1,3,3,11,50,81
1,3,4,11,50,79
1,3,5,11,50,81
1,3,6,11,50,80
1,3,7,11,50,81
1,3,8,11,50,80
1,3,9,11,50,81
1,3,10,11,50,82
1,4,1,11,50,80
1,4,2,11,50,81
1,4,3,11,50,79
1,4,4,11,50,78
1,4,5,11,50,80
1,4,6,11,50,81
1,4,7,11,50,81
1,4,8,11,50,81
1,4,9,11,50,80
1,4,10,11,50,80
1,5,1,11,50,81
1,5,2,11,50,80
1,5,3,11,50,80
1,5,4,11,50,80
1,5,5,11,50,80
1,5,6,11,50,80
1,5,7,11,50,79
1,5,8,11,50,81
1,5,9,11,50,81
1,5,10,11,50,80
1,6,1,11,50,80
1,6,2,11,50,81
1,6,3,11,50,80
1,6,4,11,50,79
1,6,5,11,50,82
1,6,6,11,50,80
1,6,7,11,50,81
1,6,8,11,50,82
1,6,9,11,50,80
1,6,10,11,50,80
1,7,1,11,50,82
1,7,2,11,50,80
1,7,3,11,50,81
1,7,4,11,50,82
1,7,5,11,50,80
1,7,6,11,50,79
1,7,7,11,50,82
1,7,8,11,50,81
1,7,9,11,50,81
1,7,10,11,50,81
1,8,1,11,50,83
1,8,2,11,50,81
1,8,3,11,50,79
1,8,4,11,50,80
1,8,5,11,50,80
1,8,6,11,50,82
1,8,7,11,50,81
1,8,8,11,50,80
1,8,9,11,50,81
1,8,10,11,50,79
1,9,1,11,50,81
1,9,2,11,50,81
1,9,3,11,50,82
1,9,4,11,50,80
1,9,5,11,50,81
1,9,6,11,50,80
1,9,7,11,50,80
1,9,8,11,50,80
1,9,9,11,50,80
1,9,10,11,50,80
1,10,1,11,50,80
1,10,2,11,50,80
1,10,3,11,50,81
1,10,4,11,50,79
1,10,5,11,50,81
1,10,6,11,50,79
1,10,7,11,50,81
1,10,8,11,50,82
1,10,9,11,50,80
1,10,10,11,50,79
2,1,1,11,50,81
2,1,2,11,50,80
2,1,3,11,50,81
2,1,4,11,50,82
2,1,5,11,50,81
2,1,6,11,50,81
2,1,7,11,50,81
2,1,8,11,50,80
2,1,9,11,50,79
2,1,10,11,50,80
2,2,1,11,50,79
2,2,2,11,50,80
2,2,3,11,50,81
2,2,4,11,50,82
2,2,5,11,50,80
2,2,6,11,50,81
2,2,7,11,50,81
2,2,8,11,50,81
2,2,9,11,50,80
2,2,10,11,50,82
2,3,1,11,50,81
2,3,2,11,50,80
2,3,3,11,50,80
2,3,4,11,50,80
2,3,5,11,50,80
2,3,6,11,50,80
2,3,7,11,50,81
2,3,8,11,50,80
2,3,9,11,50,79
2,3,10,11,50,80
2,4,1,11,50,79
2,4,2,11,50,81
2,4,3,11,50,81
2,4,4,11,50,80
2,4,5,11,50,81
2,4,6,11,50,81
2,4,7,11,50,80
2,4,8,11,50,79
2,4,9,11,50,79
2,4,10,11,50,80
2,5,1,11,50,81
2,5,2,11,50,82
2,5,3,11,50,80
2,5,4,11,50,80
2,5,5,11,50,81
2,5,6,11,50,79
2,5,7,11,50,81
2,5,8,11,50,80
2,5,9,11,50,81
2,5,10,11,50,79
2,6,1,11,50,81
2,6,2,11,50,79
2,6,3,11,50,80
2,6,4,11,50,81
2,6,5,11,50,81
2,6,6,11,50,80
2,6,7,11,50,81
2,6,8,11,50,80
2,6,9,11,50,81
2,6,10,11,50,80
2,7,1,11,50,83
2,7,2,11,50,80
2,7,3,11,50,82
2,7,4,11,50,80
2,7,5,11,50,80
2,7,6,11,50,79
2,7,7,11,50,80
2,7,8,11,50,81
2,7,9,11,50,81
2,7,10,11,50,80
2,8,1,11,50,80
2,8,2,11,50,82
2,8,3,11,50,81
2,8,4,11,50,81
2,8,5,11,50,79
2,8,6,11,50,82
2,8,7,11,50,80
2,8,8,11,50,80
2,8,9,11,50,82
2,8,10,11,50,80
2,9,1,11,50,81
2,9,2,11,50,81
2,9,3,11,50,81
2,9,4,11,50,80
2,9,5,11,50,80
2,9,6,11,50,80
2,9,7,11,50,82
2,9,8,11,50,80
2,9,9,11,50,80
2,9,10,11,50,82
2,10,1,11,50,80
2,10,2,11,50,80
2,10,3,11,50,83
2,10,4,11,50,80
2,10,5,11,50,80
2,10,6,11,50,82
2,10,7,11,50,81
2,10,8,11,50,82
2,10,9,11,50,82
2,10,10,11,50,81
4,1,1,11,50,80
4,1,2,11,50,81
4,1,3,11,50,80
4,1,4,11,50,80
4,1,5,11,50,80
4,1,6,11,50,80
4,1,7,11,50,81
4,1,8,11,50,81
4,1,9,11,50,80
4,1,10,11,50,80
4,2,1,11,50,80
4,2,2,11,50,79
4,2,3,11,50,82
4,2,4,11,50,79
4,2,5,11,50,80
4,2,6,11,50,81
4,2,7,11,50,80
4,2,8,11,50,78
4,2,9,11,50,81
4,2,10,11,50,78
4,3,1,11,50,82
4,3,2,11,50,80
4,3,3,11,50,80
4,3,4,11,50,81
4,3,5,11,50,81
4,3,6,11,50,81
4,3,7,11,50,79
4,3,8,11,50,79
4,3,9,11,50,80
4,3,10,11,50,81
4,4,1,11,50,81
4,4,2,11,50,79
4,4,3,11,50,80
4,4,4,11,50,80
4,4,5,11,50,81
4,4,6,11,50,80
4,4,7,11,50,80
4,4,8,11,50,79
4,4,9,11,50,78
4,4,10,11,50,80
4,5,1,11,50,80
4,5,2,11,50,80
4,5,3,11,50,80
4,5,4,11,50,80
4,5,5,11,50,81
4,5,6,11,50,80
4,5,7,11,50,80
4,5,8,11,50,80
4,5,9,11,50,81
4,5,10,11,50,80
4,6,1,11,50,81
4,6,2,11,50,80
4,6,3,11,50,81
4,6,4,11,50,80
4,6,5,11,50,78
4,6,6,11,50,80
4,6,7,11,50,81
4,6,8,11,50,79
4,6,9,11,50,82
4,6,10,11,50,81
4,7,1,11,50,81
4,7,2,11,50,79
4,7,3,11,50,80
4,7,4,11,50,82
4,7,5,11,50,80
4,7,6,11,50,79
4,7,7,11,50,81
4,7,8,11,50,80
4,7,9,11,50,82
4,7,10,11,50,81
4,8,1,11,50,82
4,8,2,11,50,80
4,8,3,11,50,80
4,8,4,11,50,79
4,8,5,11,50,81
4,8,6,11,50,81
4,8,7,11,50,80
4,8,8,11,50,81
4,8,9,11,50,81
4,8,10,11,50,80
4,9,1,11,50,81
4,9,2,11,50,79
4,9,3,11,50,81
4,9,4,11,50,82
4,9,5,11,50,81
4,9,6,11,50,80
4,9,7,11,50,81
4,9,8,11,50,79
4,9,9,11,50,80
4,9,10,11,50,82
4,10,1,11,50,80
4,10,2,11,50,81
4,10,3,11,50,81
4,10,4,11,50,82
4,10,5,11,50,79
4,10,6,11,50,81
4,10,7,11,50,82
4,10,8,11,50,81
4,10,9,11,50,81
4,10,10,11,50,80
8,1,1,11,50,77
8,1,2,11,50,78
8,1,3,11,50,79
8,1,4,11,50,77
8,1,5,11,50,79
8,1,6,11,50,81
8,1,7,11,50,79
8,1,8,11,50,79
8,1,9,11,50,78
8,1,10,11,50,76
8,2,1,11,50,80
8,2,2,11,50,78
8,2,3,11,50,79
8,2,4,11,50,81
8,2,5,11,50,78
8,2,6,11,50,78
8,2,7,11,50,79
8,2,8,11,50,80
8,2,9,11,50,80
8,2,10,11,50,80
8,3,1,11,50,80
8,3,2,11,50,78
8,3,3,11,50,78
8,3,4,11,50,80
8,3,5,11,50,78
8,3,6,11,50,78
8,3,7,11,50,79
8,3,8,11,50,79
8,3,9,11,50,79
8,3,10,11,50,78
8,4,1,11,50,79
8,4,2,11,50,77
8,4,3,11,50,79
8,4,4,11,50,77
8,4,5,11,50,78
8,4,6,11,50,79
8,4,7,11,50,79
8,4,8,11,50,78
8,4,9,11,50,77
8,4,10,11,50,79
8,5,1,11,50,78
8,5,2,11,50,79
8,5,3,11,50,78
8,5,4,11,50,79
8,5,5,11,50,76
8,5,6,11,50,79
8,5,7,11,50,77
8,5,8,11,50,80
8,5,9,11,50,78
8,5,10,11,50,78
8,6,1,11,50,80
8,6,2,11,50,79
8,6,3,11,50,80
8,6,4,11,50,80
8,6,5,11,50,78
8,6,6,11,50,78
8,6,7,11,50,78
8,6,8,11,50,79
8,6,9,11,50,80
8,6,10,11,50,76
8,7,1,11,50,79
8,7,2,11,50,82
8,7,3,11,50,79
8,7,4,11,50,78
8,7,5,11,50,78
8,7,6,11,50,78
8,7,7,11,50,79
8,7,8,11,50,80
8,7,9,11,50,78
8,7,10,11,50,76
8,8,1,11,50,78
8,8,2,11,50,80
8,8,3,11,50,79
8,8,4,11,50,78
8,8,5,11,50,80
8,8,6,11,50,79
8,8,7,11,50,81
8,8,8,11,50,79
8,8,9,11,50,80
8,8,10,11,50,79
8,9,1,11,50,82
8,9,2,11,50,80
8,9,3,11,50,80
8,9,4,11,50,80
8,9,5,11,50,80
8,9,6,11,50,78
8,9,7,11,50,75
8,9,8,11,50,77
8,9,9,11,50,78
8,9,10,11,50,81
8,10,1,11,50,77
8,10,2,11,50,77
8,10,3,11,50,77
8,10,4,11,50,77
8,10,5,11,50,79
8,10,6,11,50,81
8,10,7,11,50,79
8,10,8,11,50,78
8,10,9,11,50,81
8,10,10,11,50,78
16,1,1,11,50,74
16,1,2,11,50,74
16,1,3,11,50,75
16,1,4,11,50,75
16,1,5,11,50,74
16,1,6,11,50,76
16,1,7,11,50,71
16,1,8,11,50,73
16,1,9,11,50,72
16,1,10,11,50,76
16,2,1,11,50,73
16,2,2,11,50,75
16,2,3,11,50,76
16,2,4,11,50,73
16,2,5,11,50,76
16,2,6,11,50,76
16,2,7,11,50,76
16,2,8,11,50,75
16,2,9,11,50,76
16,2,10,11,50,78
16,3,1,11,50,76
16,3,2,11,50,75
16,3,3,11,50,76
16,3,4,11,50,74
16,3,5,11,50,73
16,3,6,11,50,74
16,3,7,11,50,76
16,3,8,11,50,77
16,3,9,11,50,76
16,3,10,11,50,77
16,4,1,11,50,73
16,4,2,11,50,76
16,4,3,11,50,75
16,4,4,11,50,73
16,4,5,11,50,74
16,4,6,11,50,74
16,4,7,11,50,75
16,4,8,11,50,76
16,4,9,11,50,77
16,4,10,11,50,73
16,5,1,11,50,75
16,5,2,11,50,77
16,5,3,11,50,73
16,5,4,11,50,74
16,5,5,11,50,77
16,5,6,11,50,78
16,5,7,11,50,78
16,5,8,11,50,76
16,5,9,11,50,74
16,5,10,11,50,75
16,6,1,11,50,77
16,6,2,11,50,71
16,6,3,11,50,79
16,6,4,11,50,75
16,6,5,11,50,78
16,6,6,11,50,74
16,6,7,11,50,76
16,6,8,11,50,76
16,6,9,11,50,77
16,6,10,11,50,76
16,7,1,11,50,75
16,7,2,11,50,76
16,7,3,11,50,77
16,7,4,11,50,75
16,7,5,11,50,77
16,7,6,11,50,76
16,7,7,11,50,75
16,7,8,11,50,75
16,7,9,11,50,75
16,7,10,11,50,77
16,8,1,11,50,73
16,8,2,11,50,76
16,8,3,11,50,77
16,8,4,11,50,76
16,8,5,11,50,76
16,8,6,11,50,72
16,8,7,11,50,75
16,8,8,11,50,75
16,8,9,11,50,75
16,8,10,11,50,76
16,9,1,11,50,75
16,9,2,11,50,77
16,9,3,11,50,73
16,9,4,11,50,75
16,9,5,11,50,74
16,9,6,11,50,78
16,9,7,11,50,76
16,9,8,11,50,77
16,9,9,11,50,73
16,9,10,11,50,76
16,10,1,11,50,76
16,10,2,11,50,74
16,10,3,11,50,76
16,10,4,11,50,77
16,10,5,11,50,72
16,10,6,11,50,77
16,10,7,11,50,76
16,10,8,11,50,78
16,10,9,11,50,73
16,10,10,11,50,74
32,1,1,11,49,67
32,1,2,11,49,65
32,1,3,11,49,66
32,1,4,11,48,64
32,1,5,11,49,67
32,1,6,11,49,62
32,1,7,11,49,67
32,1,8,11,49,63
32,1,9,11,50,67
32,1,10,11,50,66
32,2,1,11,49,65
32,2,2,11,49,64
32,2,3,11,50,65
32,2,4,11,49,68
32,2,5,11,49,66
32,2,6,11,48,65
32,2,7,11,50,63
32,2,8,11,48,69
32,2,9,11,47,62
32,2,10,11,50,68
32,3,1,11,50,67
32,3,2,11,50,63
32,3,3,11,49,60
32,3,4,11,50,65
32,3,5,11,49,61
32,3,6,11,50,64
32,3,7,11,50,67
32,3,8,11,49,67
32,3,9,11,49,63
32,3,10,11,49,64
32,4,1,11,49,64
32,4,2,11,49,68
32,4,3,11,50,64
32,4,4,11,49,66
32,4,5,11,46,65
32,4,6,11,50,66
32,4,7,11,49,68
32,4,8,11,50,69
32,4,9,11,49,60
32,4,10,11,49,65
32,5,1,11,49,66
32,5,2,11,49,69
32,5,3,11,49,64
32,5,4,11,49,63
32,5,5,11,49,65
32,5,6,11,50,63
32,5,7,11,50,62
32,5,8,11,49,65
32,5,9,11,49,63
32,5,10,11,49,67
32,6,1,11,48,65
32,6,2,11,49,65
32,6,3,11,50,63
32,6,4,11,49,67
32,6,5,11,49,64
32,6,6,11,49,63
32,6,7,11,50,63
32,6,8,11,50,63
32,6,9,11,48,64
32,6,10,11,49,67
32,7,1,11,49,67
32,7,2,11,49,67
32,7,3,11,48,66
32,7,4,11,48,65
32,7,5,11,50,62
32,7,6,11,50,67
32,7,7,11,50,61
32,7,8,11,50,66
32,7,9,11,49,66
32,7,10,11,50,65
32,8,1,11,49,63
32,8,2,11,48,64
32,8,3,11,48,65
32,8,4,11,50,64
32,8,5,11,48,67
32,8,6,11,49,62
32,8,7,11,49,66
32,8,8,11,49,66
32,8,9,11,50,64
32,8,10,11,49,69
32,9,1,11,50,63
32,9,2,11,49,65
32,9,3,11,49,65
32,9,4,11,48,63
32,9,5,11,50,64
32,9,6,11,50,65
32,9,7,11,49,65
32,9,8,11,49,68
32,9,9,11,50,63
32,9,10,11,50,64
32,10,1,11,49,62
32,10,2,11,50,66
32,10,3,11,49,67
32,10,4,11,50,66
32,10,5,11,50,64
32,10,6,11,49,63
32,10,7,11,49,65
32,10,8,11,50,65
32,10,9,11,49,59
32,10,10,11,49,66
